"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MGLL",703.959702241431,0.799060458215624,0.262133824481424,3.04829206912308,0.00230146123047447,0.311599543528274
"IGKV1.39",76.1916950140758,-1.02574183799697,0.337530986469511,-3.03895606363721,0.00237399474258278,0.319604071870085
"DOCK7",5656.13750674217,0.261156489175447,0.0862639570712396,3.02741142467851,0.00246657989803383,0.33020299095645
"LINC00885",51.6161358295629,-0.987689431614107,0.326962006219305,-3.0208079618634,0.00252101195089292,0.335604434513002
"IGFBP3",18.1935150914066,1.44082325074037,0.479158754666896,3.00698513114303,0.00263852668343736,0.349296957442382
"FMNL2",471.982406787415,0.382737484719768,0.12736464427782,3.00505282992747,0.00265534724016597,0.34958159881721
"NREP",194.038609843734,1.16952237103429,0.390894093162859,2.99191620311088,0.00277232349388954,0.361363902932075
"IGF1R",2492.10548804269,1.12538671720739,0.376181891922082,2.99160257676753,0.00277517286653111,0.361363902932075
"SLX1A.SULT1A3",7252.6575288299,-0.186382843282743,0.0625565292899553,-2.97943069090104,0.00288784553153468,0.373991691146412
"ANKRD24",284.60640275345,-0.500053703531517,0.167973997571956,-2.97697090478129,0.0029111163539077,0.374967522147388
"AGBL3",1027.09093157388,0.320984536385087,0.107952957167322,2.97337418823623,0.00294545130014343,0.376987030804071
"AGTPBP1",11605.7104814026,0.200190889319556,0.0674042494326529,2.97000398349628,0.0029779588744283,0.376987030804071
"CRIM1",702.625496241165,0.543427303141661,0.18302286819217,2.96917706792288,0.00298598480424206,0.376987030804071
"LINC00987",125.759749381951,-0.521333420960118,0.175619175413813,-2.96854497654767,0.00299213309954866,0.376987030804071
"SMIM24",88.1752485663065,-0.981745922883151,0.330873452494724,-2.96713415803223,0.00300589768151301,0.376987030804071
"ARHGAP8",65.6076991031922,-1.45133718241871,0.489844820239394,-2.96285093248393,0.00304804140834897,0.3802710927725
"RPS2P35",17.9147771912728,0.38581750986994,0.130537041157405,2.95561709112674,0.00312044226084893,0.385665909786749
"ZNF512B",5731.22921951383,0.308396400621565,0.104353674172314,2.95529987868301,0.00312365271680904,0.385665909786749
"TTC9",3319.16693094847,0.281996381051104,0.0957282553291625,2.94580090362513,0.00322119666190292,0.395659253899405
"FGD4",245.885401665882,0.885444058585579,0.300755390951787,2.94406712306454,0.00323929736957148,0.395842138561635
"CIART",102.121723745953,-1.03802086301374,0.353686508607371,-2.93486134684898,0.0033369676233223,0.404672832011558
"PLIN5",937.772011676365,-1.24797126799491,0.425338455536083,-2.93406639289647,0.00334552637149175,0.404672832011558
"EIF2AK3",13869.1941362384,-0.492400866102154,0.168304113899257,-2.92566149866601,0.00343724716062491,0.413667487830964
"SEMA7A",3273.21000849812,-0.43469597825672,0.149371765089905,-2.91016162254681,0.00361241896598027,0.43256448010223
"LINC00689",6.5169896764399,1.79074229482444,0.616939743685372,2.90262106332655,0.00370054099937348,0.440900957370354
"SEMA3D",55.2180457590435,1.64398675030286,0.566870902858493,2.90010784115559,0.00373034294555611,0.442240507709734
"IGHV3.11",101.755991552968,1.14677849222916,0.395731833497461,2.89786768502795,0.00375709057933343,0.44320649215315
"ELL2",5991.84799876212,-0.41103426931201,0.141936834935087,-2.89589569543376,0.00378078042112455,0.443804022930921
"TP53INP2",6199.50644353097,-0.404555452769422,0.139973104759825,-2.89023704563519,0.00384951432330958,0.445295139782586
"KCNK9",47.4342734277126,-1.55820925352636,0.539259385469113,-2.88953571419223,0.00385811179132748,0.445295139782586
"RPS2P40",156.755775894091,-0.41565424334307,0.143870287333387,-2.88909024265646,0.0038635817842173,0.445295139782586
"LOC101928371",1490.04968511436,-0.50725423598261,0.175811117822745,-2.88522274509414,0.00391136812596868,0.445295139782586
"TAMALIN",4541.46130343285,-0.960757520737064,0.333232890641116,-2.88314133364398,0.00393730740733178,0.445295139782586
"PLAGL1",7680.81018591615,-0.22639927293865,0.0785368085588245,-2.88271546925765,0.00394263389247208,0.445295139782586
"H3.5",644.481199260717,-0.365499059878962,0.126819167922317,-2.88204902986627,0.0039509824958615,0.445295139782586
"LINC01781",79.3573963543722,-1.38491316499454,0.480584184647752,-2.88172854878614,0.00395500293214044,0.445295139782586
"IGKV1D.39",77.0975185995745,-0.967774744283421,0.336038277783368,-2.87995388700127,0.00397733339254556,0.445295139782586
"DUXAP9",24.5464434433653,1.48383686461344,0.515424065901328,2.87886608868105,0.00399107762269542,0.445295139782586
"TTTY14",1.79182264451049,3.48110244394497,1.2094563571399,2.87823733646497,0.00399904150041854,0.445295139782586
"LRRC19",24.0705401241062,0.728144383968123,0.25320941122551,2.87566082336344,0.00403182695334548,0.445306187361264
"UAP1L1",10810.2892649184,-0.280145654717982,0.0974610652320951,-2.87443661785185,0.00404748999462776,0.445306187361264
"BCAS4",9453.44829249092,0.181940421638946,0.0633092718093299,2.87383532363001,0.00405520343520056,0.445306187361264
"MARK2P4",6.10394100524622,-1.67259379169233,0.582750465657699,-2.87017152325159,0.00410249193400836,0.448432478419657
"RPL32P27",28.4786164073459,-0.500711744113877,0.174660727537916,-2.86676776841653,0.00414687187316548,0.451213743678813
"LYZ",3145.65583147265,0.8887681866222,0.310327030289006,2.8639728411492,0.00418363880557062,0.453145132263374
"GPR183",5417.65636776033,0.614148582915825,0.215031723501813,2.85608361833479,0.00428902160564153,0.45975347708286
"MARCHF2",3435.15427809706,0.179344889415689,0.0628208335071006,2.85486325798936,0.00430553622932878,0.45975347708286
"PAX9",101.792322719464,-2.70064720878967,0.946100350506609,-2.85450397237835,0.0043104092648852,0.45975347708286
"FRMD8P1",4.14515052209993,-0.8641427614941,0.302818709954411,-2.85366370401683,0.00432182545916995,0.45975347708286
"RDH10",606.369482839101,-0.281370204751727,0.0988612266133133,-2.84611282289952,0.0044256511609731,0.468705962288124
"NAT14",928.479556572294,-0.262523341641203,0.0923771325951177,-2.84186501860611,0.00448504764168782,0.472894691388403
